# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       5.225530007761e-10       1.472660837710e-13      -5.786930556962e-12       0.000000000000e+00       4.499332923390e-12       7.666716275691e-13      -4.804999533168e-15 
  139       5.270519985326e-10       1.473443259866e-13      -5.825613405404e-12       0.000000000000e+00       4.408838256270e-12       7.546696875850e-13      -4.741398729192e-15 
  140       5.315413561830e-10       1.473573667796e-13      -5.861706477041e-12       0.000000000000e+00       4.320772685333e-12       7.429379149377e-13      -4.678471591943e-15 
  141       5.360196095866e-10       1.473053409529e-13      -5.895152524787e-12       0.000000000000e+00       4.235000041516e-12       7.314581481984e-13      -4.615925345307e-15 
  142       5.404852209154e-10       1.471884659331e-13      -5.925895295942e-12       0.000000000000e+00       4.151367407831e-12       7.202100399138e-13      -4.553445625204e-15 
  143       5.449365770956e-10       1.470070434543e-13      -5.953879569957e-12       0.000000000000e+00       4.069704755583e-12       7.091710089649e-13      -4.490696056635e-15 
  144       5.493721192860e-10       1.467614715626e-13      -5.979051529493e-12       0.000000000000e+00       3.989860594674e-12       6.983211312183e-13      -4.427388007116e-15 
  145       5.537907489864e-10       1.464522784109e-13      -6.001359835090e-12       0.000000000000e+00       3.911813653668e-12       6.876584554598e-13      -4.363498490249e-15 
  146       5.581914591910e-10       1.460800950119e-13      -6.020754728728e-12       0.000000000000e+00       3.835571569593e-12       6.771851138732e-13      -4.299073040518e-15 
  147       5.625732061501e-10       1.456456469436e-13      -6.037187749376e-12       0.000000000000e+00       3.761135707083e-12       6.669025002443e-13      -4.234157446439e-15 
  148       5.669349085649e-10       1.451497560914e-13      -6.050611772673e-12       0.000000000000e+00       3.688501001564e-12       6.568112507005e-13      -4.168797730923e-15 
  149       5.712754467834e-10       1.445933423919e-13      -6.060981050612e-12       0.000000000000e+00       3.617655802443e-12       6.469112244519e-13      -4.103040131632e-15 
  150       5.755936619952e-10       1.439774255751e-13      -6.068251251211e-12       0.000000000000e+00       3.548581716298e-12       6.372014845308e-13      -4.036931081339e-15 
  151       5.798883554268e-10       1.433031269075e-13      -6.072379498207e-12       0.000000000000e+00       3.481253450067e-12       6.276802785318e-13      -3.970517188290e-15 
  152       5.841582875368e-10       1.425716709353e-13      -6.073324410722e-12       0.000000000000e+00       3.415638654237e-12       6.183450193526e-13      -3.903845216558e-15 
  153       5.884021772113e-10       1.417843872265e-13      -6.071046142955e-12       0.000000000000e+00       3.351697766031e-12       6.091922659337e-13      -3.836962066406e-15 
  154       5.926187009590e-10       1.409427121147e-13      -6.065506423857e-12       0.000000000000e+00       3.289383852599e-12       6.002177039985e-13      -3.769914754643e-15 
